6	3	Blue Jay	Hummingbird	Heron	Pelican	Borbitt	Woodpecker	Grackle	Cardinal	Chickadee	Mourning Dove	Turkey	Stork	Seagull	Sandpiper	Hawk	Owl	Robin	Cutie pie	Goldfinch	Crow	Swan	Duck	Chickadee	Pigeon	Bobble-wobble	Grackle	Finch	Bald Eagle	Falcon	Water bird	Chickadee	Raven	Mallard	Kookaburra	Vulture	Boring bird	Blackbird	Ostrich	Titmouse	Woodpecker	Chicken	Warbler	Emperor Penguin	Chickadee	Chickadee
7	6	Blue Jay	Hummingbird	Dinosaur Relative	Heron	Kiwi	Woodpecker	Myna bird	Cardinal	Sparrow #57	Ptarmigan	Turkey	Egret	Seagull	Plover	Eagle	Owl	Robin	Sparrow	Finch	Starling	Swan	Canadian Goose	Thrush	Pigeon	Yellow billed car pooper bird	Magpie	Chickadee	Bald Eagle	Falcon	Fish hunting bird	Blue Jay	Crow	Duck	Sparrow #2	Vulture	Mr. Bird, I presume	Oriole	Quail	Other Sparrow #2	Red headed Woodpecker	Chicken	Communist Red Sparrow	Bank Robber Bird	Yellow Bellied Chickadee	Nuthatch
8	2	Blue Jay	Hummingbird	Cormorant	Pelican	Snow bird	Woodpecker	Blueblackbird	Cardinal	Sparrow	Fluffy pigeon	Turkey	Crane	Seagull	Sandpiper	Red-tailed Hawk	Owl	Robin	Sparrow	Canary	Crow	Swan	Canadian Goose	Normal small bird-sparrow	Pigeon	Black bird	Rainbow blackbird	Some cute name like blidget	Bald Eagle	Peregrine Falcon	Water bird stork	Starling	Black bird	Mallard	Forest Bird	Vulture	Vertical Sparrow	Blackbird	Sparrow pigeon	pointy sparrow	woodpecker	Chicken	Flat-nosed sparrow	round bird	sparrow with yellow	Blue sparrow
9		Blue Jay	Hummingbird	Baby peacock	Pelican	Juno	Black striped bird	angry blue bird	Red sparrow	Grey robin	Congested bird	Turkey	Stork	Seagull	Nature-like bird	Sparrow	Owl	Orange breasted bird	Cute brown bird	Yellow sparrow	Crow	White Swan	Goose	City bird	Pigeon	Colorful bird	Peacock head	Angry bird	Eagle	Baby owl	long beak bird	Blue robin	Crow	Duck	Native bird	Red headed eagle	Baby pigeon	Baby crow	silver bird	golden bird		Rooster	Red robin	calm bird	yellow breasted bird	grey bird
10	1	Blue Jay	Green lantern	Stoker	Hoscar	Puff daddy	December	Ocean	Red robin	Da bird	Riptide	Turkey	Flamingo	Easter	Weardbird	Falcon	Owl	Victory	Utter	Tomboy	Sorrow	Swan	Illmatic	Nesting	Pigeon	Olly	Joker	House Money	Eagle	Mock	Luther	Killingo	Pidgeotto	Duck	Brown	Hawk	Stem one	Purkit	Lockett	IPidgeon	Flu Breeze	Rooster	Red Dawn	Zorro	Xesus	Yolo
11	4	Blue Jay	Hummingbird	Cormorant	Pelican	Ptarmigan	Sparrow	Sparrow	Cardinal	Sparrow	Dove	Turkey	Heron	Seagull	Plover	Hawk	Owl	Robin	Sparrow	Oriole	Crow	Swan	Goose	Sparrow	Pigeon	Starling	Sparrow	Chickadee	Eagle	Hawk	Egret	Bluebird	Crow	Duck	Sparrow	Vulture	Sparrow	Red-winged Blackbird	Sparrow	Sparrow	Woodpecker	Chicken	Sparrow	Sparrow	Sparrow	Sparrow
12	3	Blue Jay	Hummingbird	Cormorant	Pelican	Greater pluot	Zimbabwe Twist	Blackbird	Cardinal	Lesser pluot	Tufted Salamander	Turkey	Blue heron	Seagull	Plover	Hawk	Owl	Robin	Sparrow	Canary	Crow	Swan	Goose	Wren	Pigeon	Slim Shady	Grackle	Warbler	Eagle	Dementor	Daddy long-legs	Emperor penguin	Raven	Duck	Argus plover	Hawk	Slanted Sisyphus	Maverick	Beedle's beetle	Tinosaur	Zebra finch	Chicken	Inverness Angler	Snowy grackle	Chickadee	Querrulous finch
13	3	Blue Jay	Hummingbird	Long-billed rhino	Stork	Plover	Woodpecker	Crow	Cardinal	Tree finch	Ptarmigan	Turkey	Heron	Seagull	grebe	Hawk	Owl	Black-hatted Chaches	Stripes	Finch	Raven	Swan	Goose	Sparrow	Pigeon	Grebe	Grackle	Trepple	Eagle	Kite	Osprey	Robin	Raven	Duck	Spotted Wickler	Condor	Nuthatch	Crow	Chaffinch	Veery	St. Timmon's Quelch	Chicken	Humbolot's Mebe	Trompous Pluffer	Bellbird	Low Thresper
14	7	Blue Jay	Hummingbird	Heron	Pelican		Woodpecker	Small crow	Cardinal	Canary		Turkey	Blue heron	Seagull		Hawk	Owl				Black crow	White Swan	Canada Goose		Pigeon				Bald Eagle	Hawk			Black crow	Mallard		Vulture						Chicken		Fat Thief		
15	3	Bluebird	Hummingbird	Cormorant	Albacross	Snowy Gaphard	Woodpecker	Sable Horcher	Cardinal	Robin	Buckle	Turkey	Heron	Seagull	Lesser spotted Naple	Fac	Barn Owl	Spelch	Grackle	Norbitt's Spelch	Spakle Grackle	Swan													Dappled Tupple	Hawk	Sparrow	Marrow	Default Bird	Sparrow	Advanced Woodpecker	Chicken	Duckle	Podgy Budgie	Fincher's finch	Filcher's finch
16	7	Bluebird	Hummingbird	Loon	Heron	Kookaburra	Woodpecker	Thrush	Cardinal	Wren	Pouter Pigeon	Turkey	Blue heron	Gull	Plover	Red tailed hawk	Owl	American Robin	Wren	Finch	Crow	Swan	Emperor Goose	Nuthatch	Pigeon	Grackle	Bird of Paradise	Wren	Bald Eagle	Peregrine	Kingfisher	Titmouse	Raven	Duck	Kingfisher	Goshawk	Live in redwoods, can't remember name	Magpie	Bluebird	Wren	Red-whatever woodpecker	RI Red	Nuthatch	Chickadee	Chickadee	House Sparrow
17	6	Blue Jay	Ruby-throated Hummingbird	Cormorant	Brown Pelican		Downy Woodpecker		Cardinal		Mourning Dove	Turkey	Blue heron	Ring-nosed gull	Piping plover	Red-tailed Hawk	Owl	Robin		Gold finch	Raven	Swan	Canada Goose	House Sparrow	Rock Dove	Starling		Black-capped Chickadee	Bald Eagle			Tufted Titmouse	Crow	Mallard		Vulture		Red-wing blackbird			Pileated Woodpecker	Chicken	House Finch			
18	3	Blue Jay	Woodpecker	Heron	Pelican				Cardinal			Turkey	Heron	Dove		Eagle	Spotted Owl					Swan	Duck		Pigeon	Same bird different color	Same bird different color	Same bird different color	Bald Eagle	Hawk			Black bird	Mallard duck		Dog eating hawk						Chicken				
19	6	Blue Jay	Hummingbird	Cormorant	Pelican	Sandpiper	Woodpecker	Blackbird	Cardinal	Mockingbird	Dove	Turkey	Heron	Seagull	Sandpiper	Red-tailed Hawk	Owl	Robin	Eastern Wren	Chickadee	Crow	Swan	Canada Goose	Sparrow	Pigeon	Dark woo-be-gone	Sudden apocalypse	Chickadee	Bald Eagle	Corpus Hawk	Tentative Heron	Kawaii Wren	Raven	Mallard	Dotted Pecker	Turkey Vulture	Grey Shadow	Red-wing blackbird	Chickawren	Wren	Woodpecker	Chicken	Wren	Cardinal Wren	Sparrow Wren	Pecker Wren
20	1	Blue Jay	Robin	Sparrow	Pelican	Stork	Woodpecker	Crow	Cardinal	Starling	Starling	Turkey	Heron	Seagull	Crow	Starling	Owl	Starling	Hawk	Egrit	Ibis	Swan	Goose	Mockingbird	Pigeon	Brown Tipped bird	Rainbow Bird	Chickadee	Bald Eagle	Snow bird	beak bird	fuzzy bird	crow	duck	Black stripe bird	Vulture	Grey bird	White spot bird	other grey bird	eye stripe fowl	Woodpecker	Chicken	Red bird	Puffer bird	meaneyed bird	Aquamarine
