order,family,common_name,bird_id,normalized_response,n,relaxed_by_hand
Passeriformes,Tyrannidae (Tyrant Flycatchers),Alder Flycatcher,aldfly,greycardinal,1,
Passeriformes,Tyrannidae (Tyrant Flycatchers),Alder Flycatcher,aldfly,lark,1,
Passeriformes,Tyrannidae (Tyrant Flycatchers),Alder Flycatcher,aldfly,littlebird,1,
Passeriformes,Tyrannidae (Tyrant Flycatchers),Alder Flycatcher,aldfly,mockingbird,1,
Passeriformes,Tyrannidae (Tyrant Flycatchers),Alder Flycatcher,aldfly,nuthatch,1,
Passeriformes,Tyrannidae (Tyrant Flycatchers),Alder Flycatcher,aldfly,parakeet,1,
Passeriformes,Tyrannidae (Tyrant Flycatchers),Alder Flycatcher,aldfly,phoebe,3,
Passeriformes,Tyrannidae (Tyrant Flycatchers),Alder Flycatcher,aldfly,pigeon,1,
Passeriformes,Tyrannidae (Tyrant Flycatchers),Alder Flycatcher,aldfly,robin,3,
Passeriformes,Tyrannidae (Tyrant Flycatchers),Alder Flycatcher,aldfly,skylark,1,
Passeriformes,Tyrannidae (Tyrant Flycatchers),Alder Flycatcher,aldfly,smalltownbird,1,
Passeriformes,Tyrannidae (Tyrant Flycatchers),Alder Flycatcher,aldfly,songbird,1,
Passeriformes,Tyrannidae (Tyrant Flycatchers),Alder Flycatcher,aldfly,sparrow,20,
Passeriformes,Tyrannidae (Tyrant Flycatchers),Alder Flycatcher,aldfly,standardbird,1,
Passeriformes,Tyrannidae (Tyrant Flycatchers),Alder Flycatcher,aldfly,swallow,1,
Passeriformes,Tyrannidae (Tyrant Flycatchers),Alder Flycatcher,aldfly,swollow,1,
Passeriformes,Tyrannidae (Tyrant Flycatchers),Alder Flycatcher,aldfly,titmouse,3,
Passeriformes,Tyrannidae (Tyrant Flycatchers),Alder Flycatcher,aldfly,treecreeper,1,
Passeriformes,Tyrannidae (Tyrant Flycatchers),Alder Flycatcher,aldfly,twit,1,
Passeriformes,Tyrannidae (Tyrant Flycatchers),Alder Flycatcher,aldfly,wren,5,
Passeriformes,"Corvidae (Crows, Jays, and Magpies)",American Crow,amecro,americanblackbird,1,
Passeriformes,"Corvidae (Crows, Jays, and Magpies)",American Crow,amecro,blackbird,8,
Passeriformes,"Corvidae (Crows, Jays, and Magpies)",American Crow,amecro,blackcanary,1,
Passeriformes,"Corvidae (Crows, Jays, and Magpies)",American Crow,amecro,blorg,1,
Passeriformes,"Corvidae (Crows, Jays, and Magpies)",American Crow,amecro,bluejay,1,
Passeriformes,"Corvidae (Crows, Jays, and Magpies)",American Crow,amecro,hawk,2,
Passeriformes,"Corvidae (Crows, Jays, and Magpies)",American Crow,amecro,raptor,1,
Passeriformes,"Corvidae (Crows, Jays, and Magpies)",American Crow,amecro,raven,23,
Passeriformes,"Corvidae (Crows, Jays, and Magpies)",American Crow,amecro,sparrow,3,
Passeriformes,"Corvidae (Crows, Jays, and Magpies)",American Crow,amecro,starling,2,
Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",American Goldfinch,amegfi,blackandyellowglider,1,
Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",American Goldfinch,amegfi,budgerigar,1,
Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",American Goldfinch,amegfi,canary,14,
Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",American Goldfinch,amegfi,cardinal,2,
Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",American Goldfinch,amegfi,chickadee,3,
Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",American Goldfinch,amegfi,jay,1,
Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",American Goldfinch,amegfi,lark,1,
Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",American Goldfinch,amegfi,messenger,1,
Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",American Goldfinch,amegfi,minipidgeon,1,
Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",American Goldfinch,amegfi,mockingbird,1,
Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",American Goldfinch,amegfi,nuthatch,1,
Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",American Goldfinch,amegfi,parakeet,4,
Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",American Goldfinch,amegfi,peracet,1,
Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",American Goldfinch,amegfi,pigeon,1,
Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",American Goldfinch,amegfi,rareyellowcardinal,1,
Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",American Goldfinch,amegfi,robin,2,
Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",American Goldfinch,amegfi,rockymountainbird,1,
Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",American Goldfinch,amegfi,skylark,1,
Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",American Goldfinch,amegfi,sparrow,3,
Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",American Goldfinch,amegfi,warbler,1,
Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",American Goldfinch,amegfi,wren,1,
Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",American Goldfinch,amegfi,yellow,1,
Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",American Goldfinch,amegfi,yellowbird,1,
Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",American Goldfinch,amegfi,yellowcardinal,2,
Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",American Goldfinch,amegfi,yellowcarpenter,1,
Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",American Goldfinch,amegfi,yellowchestedsparrow,1,
Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",American Goldfinch,amegfi,yellowcrest,1,
Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",American Goldfinch,amegfi,yellowjay,6,
Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",American Goldfinch,amegfi,yellowsongbird,1,
Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",American Goldfinch,amegfi,yellowsparrow,1,
Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",American Goldfinch,amegfi,yellowtitmouse,1,
Falconiformes,Falconidae (Falcons and Caracaras),American Kestrel,amekes,babyhawk,2,
Falconiformes,Falconidae (Falcons and Caracaras),American Kestrel,amekes,bluejay,2,
Falconiformes,Falconidae (Falcons and Caracaras),American Kestrel,amekes,brownfinch,1,
Falconiformes,Falconidae (Falcons and Caracaras),American Kestrel,amekes,budgie,1,
Falconiformes,Falconidae (Falcons and Caracaras),American Kestrel,amekes,bulbul,1,
Falconiformes,Falconidae (Falcons and Caracaras),American Kestrel,amekes,cardinal,2,
Falconiformes,Falconidae (Falcons and Caracaras),American Kestrel,amekes,chickadee,1,
Falconiformes,Falconidae (Falcons and Caracaras),American Kestrel,amekes,chickenhawk,1,
Falconiformes,Falconidae (Falcons and Caracaras),American Kestrel,amekes,coopershawk,1,
Falconiformes,Falconidae (Falcons and Caracaras),American Kestrel,amekes,desertfledgling,1,
Falconiformes,Falconidae (Falcons and Caracaras),American Kestrel,amekes,evenbabierhawk,1,
Falconiformes,Falconidae (Falcons and Caracaras),American Kestrel,amekes,falcon,10,
Falconiformes,Falconidae (Falcons and Caracaras),American Kestrel,amekes,finch,2,
Falconiformes,Falconidae (Falcons and Caracaras),American Kestrel,amekes,fluffy,1,
Falconiformes,Falconidae (Falcons and Caracaras),American Kestrel,amekes,grouse,1,
Falconiformes,Falconidae (Falcons and Caracaras),American Kestrel,amekes,hawk,18,
Falconiformes,Falconidae (Falcons and Caracaras),American Kestrel,amekes,hen,1,
Falconiformes,Falconidae (Falcons and Caracaras),American Kestrel,amekes,jay,1,
Falconiformes,Falconidae (Falcons and Caracaras),American Kestrel,amekes,kistrel,1,
Falconiformes,Falconidae (Falcons and Caracaras),American Kestrel,amekes,lark,1,
Falconiformes,Falconidae (Falcons and Caracaras),American Kestrel,amekes,merlin,1,
Falconiformes,Falconidae (Falcons and Caracaras),American Kestrel,amekes,miniaturebird,1,
Falconiformes,Falconidae (Falcons and Caracaras),American Kestrel,amekes,nighthawk,1,
Falconiformes,Falconidae (Falcons and Caracaras),American Kestrel,amekes,orangejay,1,
Falconiformes,Falconidae (Falcons and Caracaras),American Kestrel,amekes,osprey,1,
Falconiformes,Falconidae (Falcons and Caracaras),American Kestrel,amekes,owl,2,
Falconiformes,Falconidae (Falcons and Caracaras),American Kestrel,amekes,parakeet,2,
Falconiformes,Falconidae (Falcons and Caracaras),American Kestrel,amekes,parakeetfalcon,1,
Falconiformes,Falconidae (Falcons and Caracaras),American Kestrel,amekes,pedigrewfalcon,1,
Falconiformes,Falconidae (Falcons and Caracaras),American Kestrel,amekes,peregrinefalcon,1,
Falconiformes,Falconidae (Falcons and Caracaras),American Kestrel,amekes,pigeon,1,
Falconiformes,Falconidae (Falcons and Caracaras),American Kestrel,amekes,pigmyfalcon,1,
Falconiformes,Falconidae (Falcons and Caracaras),American Kestrel,amekes,puffin,1,
Falconiformes,Falconidae (Falcons and Caracaras),American Kestrel,amekes,puffingbird,1,
Falconiformes,Falconidae (Falcons and Caracaras),American Kestrel,amekes,quail,1,
Falconiformes,Falconidae (Falcons and Caracaras),American Kestrel,amekes,raptor,1,
Falconiformes,Falconidae (Falcons and Caracaras),American Kestrel,amekes,redhawk,1,
Falconiformes,Falconidae (Falcons and Caracaras),American Kestrel,amekes,robin,3,
Falconiformes,Falconidae (Falcons and Caracaras),American Kestrel,amekes,sharpshinhawk,1,
Falconiformes,Falconidae (Falcons and Caracaras),American Kestrel,amekes,smalleagle,1,
Falconiformes,Falconidae (Falcons and Caracaras),American Kestrel,amekes,sparrow,6,
Falconiformes,Falconidae (Falcons and Caracaras),American Kestrel,amekes,sparrowhawk,4,
Falconiformes,Falconidae (Falcons and Caracaras),American Kestrel,amekes,spottedsparrow,2,
Falconiformes,Falconidae (Falcons and Caracaras),American Kestrel,amekes,spottedwing,1,
Falconiformes,Falconidae (Falcons and Caracaras),American Kestrel,amekes,starling,1,
Falconiformes,Falconidae (Falcons and Caracaras),American Kestrel,amekes,stripedwing,1,
Falconiformes,Falconidae (Falcons and Caracaras),American Kestrel,amekes,tern,1,
Falconiformes,Falconidae (Falcons and Caracaras),American Kestrel,amekes,tiger,1,
Falconiformes,Falconidae (Falcons and Caracaras),American Kestrel,amekes,tigerbird,1,
Falconiformes,Falconidae (Falcons and Caracaras),American Kestrel,amekes,wren,1,
Falconiformes,Falconidae (Falcons and Caracaras),American Kestrel,amekes,yellowbreastedfalcon,1,
Passeriformes,Parulidae (New World Warblers),American Redstart,amered,babysparrow,1,
Passeriformes,Parulidae (New World Warblers),American Redstart,amered,birchbird,1,
Passeriformes,Parulidae (New World Warblers),American Redstart,amered,blackfinch,1,
Passeriformes,Parulidae (New World Warblers),American Redstart,amered,blacksongbird,1,
Passeriformes,Parulidae (New World Warblers),American Redstart,amered,blacktailedjay,1,
Passeriformes,Parulidae (New World Warblers),American Redstart,amered,bluejay,1,
Passeriformes,Parulidae (New World Warblers),American Redstart,amered,buck,1,
Passeriformes,Parulidae (New World Warblers),American Redstart,amered,canary,2,
Passeriformes,Parulidae (New World Warblers),American Redstart,amered,cannary,1,
Passeriformes,Parulidae (New World Warblers),American Redstart,amered,cardinal,1,
Passeriformes,Parulidae (New World Warblers),American Redstart,amered,chikodee,1,
Passeriformes,Parulidae (New World Warblers),American Redstart,amered,finch,21,
Passeriformes,Parulidae (New World Warblers),American Redstart,amered,flycatcher,1,
Passeriformes,Parulidae (New World Warblers),American Redstart,amered,forestfledgling,1,
Passeriformes,Parulidae (New World Warblers),American Redstart,amered,goldfinch,2,
Passeriformes,Parulidae (New World Warblers),American Redstart,amered,goldjay,1,
Passeriformes,Parulidae (New World Warblers),American Redstart,amered,gruffle,1,
Passeriformes,Parulidae (New World Warblers),American Redstart,amered,illinoisjetbird,1,
Passeriformes,Parulidae (New World Warblers),American Redstart,amered,jackdaw,1,
Passeriformes,Parulidae (New World Warblers),American Redstart,amered,jayhawk,1,
Passeriformes,Parulidae (New World Warblers),American Redstart,amered,junko,1,
Passeriformes,Parulidae (New World Warblers),American Redstart,amered,kingbird,1,
Passeriformes,Parulidae (New World Warblers),American Redstart,amered,lilybird,1,
Passeriformes,Parulidae (New World Warblers),American Redstart,amered,mockingbird,1,
Passeriformes,Parulidae (New World Warblers),American Redstart,amered,orangewingedblackbird,1,
Passeriformes,Parulidae (New World Warblers),American Redstart,amered,orangewingedsparrow,1,
Passeriformes,Parulidae (New World Warblers),American Redstart,amered,oriole,6,
Passeriformes,Parulidae (New World Warblers),American Redstart,amered,pigeon,1,
Passeriformes,Parulidae (New World Warblers),American Redstart,amered,redwingedfinch,1,
Passeriformes,Parulidae (New World Warblers),American Redstart,amered,robin,1,
Passeriformes,Parulidae (New World Warblers),American Redstart,amered,songbird,3,
Passeriformes,Parulidae (New World Warblers),American Redstart,amered,sparrow,5,
Passeriformes,Parulidae (New World Warblers),American Redstart,amered,spottedfinch,1,
Passeriformes,Parulidae (New World Warblers),American Redstart,amered,starling,1,
Passeriformes,Parulidae (New World Warblers),American Redstart,amered,sunsetbird,1,
Passeriformes,Parulidae (New World Warblers),American Redstart,amered,swallow,2,
Passeriformes,Parulidae (New World Warblers),American Redstart,amered,swallows,1,
Passeriformes,Parulidae (New World Warblers),American Redstart,amered,thrush,1,
Passeriformes,Parulidae (New World Warblers),American Redstart,amered,volcanobird,1,
Passeriformes,Parulidae (New World Warblers),American Redstart,amered,warbler,7,
Passeriformes,Parulidae (New World Warblers),American Redstart,amered,woodcock,1,
Passeriformes,Parulidae (New World Warblers),American Redstart,amered,wren,2,
Passeriformes,Parulidae (New World Warblers),American Redstart,amered,yellowbelly,2,
Passeriformes,Parulidae (New World Warblers),American Redstart,amered,yellowbreastedtowhee,1,
Passeriformes,Parulidae (New World Warblers),American Redstart,amered,yellowpersparrow,1,
Passeriformes,Parulidae (New World Warblers),American Redstart,amered,yellowthroatedfinch,1,
Passeriformes,Turdidae (Thrushes and Allies),American Robin,amerob,bland,1,
Passeriformes,Turdidae (Thrushes and Allies),American Robin,amerob,cardinal,1,
Passeriformes,Turdidae (Thrushes and Allies),American Robin,amerob,dove,1,
Passeriformes,Turdidae (Thrushes and Allies),American Robin,amerob,finch,4,
Passeriformes,Turdidae (Thrushes and Allies),American Robin,amerob,jay,1,
Passeriformes,Turdidae (Thrushes and Allies),American Robin,amerob,largecannary,1,
Passeriformes,Turdidae (Thrushes and Allies),American Robin,amerob,orangaybirdey,1,
Passeriformes,Turdidae (Thrushes and Allies),American Robin,amerob,orangeandgreycanary,1,
Passeriformes,Turdidae (Thrushes and Allies),American Robin,amerob,orangebelliedbird,1,
Passeriformes,Turdidae (Thrushes and Allies),American Robin,amerob,orangebreastedfinch,1,
Passeriformes,Turdidae (Thrushes and Allies),American Robin,amerob,orangejay,1,
Passeriformes,Turdidae (Thrushes and Allies),American Robin,amerob,orangepigeon,1,
Passeriformes,Turdidae (Thrushes and Allies),American Robin,amerob,orangesparrow,1,
Passeriformes,Turdidae (Thrushes and Allies),American Robin,amerob,oriel,1,
Passeriformes,Turdidae (Thrushes and Allies),American Robin,amerob,oriole,2,
Passeriformes,Turdidae (Thrushes and Allies),American Robin,amerob,orioles,1,
Passeriformes,Turdidae (Thrushes and Allies),American Robin,amerob,peckham,1,
Passeriformes,Turdidae (Thrushes and Allies),American Robin,amerob,quail,1,
Passeriformes,Turdidae (Thrushes and Allies),American Robin,amerob,redbreastedfinch,1,
Passeriformes,Turdidae (Thrushes and Allies),American Robin,amerob,redbreastedsomething,1,
Passeriformes,Turdidae (Thrushes and Allies),American Robin,amerob,redsparrow,1,
Passeriformes,Turdidae (Thrushes and Allies),American Robin,amerob,robbin,1,
Passeriformes,Turdidae (Thrushes and Allies),American Robin,amerob,snowbird,1,
Passeriformes,Turdidae (Thrushes and Allies),American Robin,amerob,sparrow,3,
Passeriformes,Turdidae (Thrushes and Allies),American Robin,amerob,tanager,1,
Passeriformes,Turdidae (Thrushes and Allies),American Robin,amerob,woodpecker,1,
Passeriformes,Turdidae (Thrushes and Allies),American Robin,amerob,wren,2,
Suliformes,Anhingidae (Anhingas),Anhinga,anhing,beaky,1,
Suliformes,Anhingidae (Anhingas),Anhinga,anhing,bigneckbird,1,
Suliformes,Anhingidae (Anhingas),Anhinga,anhing,blackbird,1,
Suliformes,Anhingidae (Anhingas),Anhinga,anhing,blackcormorant,1,
Suliformes,Anhingidae (Anhingas),Anhinga,anhing,blackcrane,2,
Suliformes,Anhingidae (Anhingas),Anhinga,anhing,blackfisher,1,
Suliformes,Anhingidae (Anhingas),Anhinga,anhing,blackgoose,1,
Suliformes,Anhingidae (Anhingas),Anhinga,anhing,blackherring,1,
Suliformes,Anhingidae (Anhingas),Anhinga,anhing,blackstork,2,
Suliformes,Anhingidae (Anhingas),Anhinga,anhing,blackswan,1,
Suliformes,Anhingidae (Anhingas),Anhinga,anhing,blacktail,1,
Suliformes,Anhingidae (Anhingas),Anhinga,anhing,blackwarbler,1,
Suliformes,Anhingidae (Anhingas),Anhinga,anhing,booby,1,
Suliformes,Anhingidae (Anhingas),Anhinga,anhing,browncormorant,1,
Suliformes,Anhingidae (Anhingas),Anhinga,anhing,comarant,1,
Suliformes,Anhingidae (Anhingas),Anhinga,anhing,comorant,1,
Suliformes,Anhingidae (Anhingas),Anhinga,anhing,cormorant,3,
Suliformes,Anhingidae (Anhingas),Anhinga,anhing,crane,8,
Suliformes,Anhingidae (Anhingas),Anhinga,anhing,crow,1,
Suliformes,Anhingidae (Anhingas),Anhinga,anhing,darksuitedcrane,1,
Suliformes,Anhingidae (Anhingas),Anhinga,anhing,duck,2,
Suliformes,Anhingidae (Anhingas),Anhinga,anhing,duckvulture,1,
Suliformes,Anhingidae (Anhingas),Anhinga,anhing,eagle,3,
Suliformes,Anhingidae (Anhingas),Anhinga,anhing,egot,1,
Suliformes,Anhingidae (Anhingas),Anhinga,anhing,egret,2,
Suliformes,Anhingidae (Anhingas),Anhinga,anhing,fuzzyherron,1,
Suliformes,Anhingidae (Anhingas),Anhinga,anhing,gander,1,
Suliformes,Anhingidae (Anhingas),Anhinga,anhing,giraffebird,1,
Suliformes,Anhingidae (Anhingas),Anhinga,anhing,goose,5,
Suliformes,Anhingidae (Anhingas),Anhinga,anhing,gooseneckedfancytail,1,
Suliformes,Anhingidae (Anhingas),Anhinga,anhing,greekbutbird,1,
Suliformes,Anhingidae (Anhingas),Anhinga,anhing,guesse,1,
Suliformes,Anhingidae (Anhingas),Anhinga,anhing,guinea,1,
Suliformes,Anhingidae (Anhingas),Anhinga,anhing,hawk,1,
Suliformes,Anhingidae (Anhingas),Anhinga,anhing,heron,6,
Suliformes,Anhingidae (Anhingas),Anhinga,anhing,huron,1,
Suliformes,Anhingidae (Anhingas),Anhinga,anhing,igrit,1,
Suliformes,Anhingidae (Anhingas),Anhinga,anhing,longedneckbird,1,
Suliformes,Anhingidae (Anhingas),Anhinga,anhing,longneck,1,
Suliformes,Anhingidae (Anhingas),Anhinga,anhing,longneckedduck,1,
Suliformes,Anhingidae (Anhingas),Anhinga,anhing,longneckedhawk,1,
Suliformes,Anhingidae (Anhingas),Anhinga,anhing,longneckedwarbler,1,
Suliformes,Anhingidae (Anhingas),Anhinga,anhing,loon,1,
Suliformes,Anhingidae (Anhingas),Anhinga,anhing,miniaturestork,1,
Suliformes,Anhingidae (Anhingas),Anhinga,anhing,phesant,1,
Suliformes,Anhingidae (Anhingas),Anhinga,anhing,pigeone,1,
Suliformes,Anhingidae (Anhingas),Anhinga,anhing,rew,1,
Suliformes,Anhingidae (Anhingas),Anhinga,anhing,rivergoose,1,
Suliformes,Anhingidae (Anhingas),Anhinga,anhing,sandbird,1,
Suliformes,Anhingidae (Anhingas),Anhinga,anhing,spork,1,
Suliformes,Anhingidae (Anhingas),Anhinga,anhing,stork,1,
Suliformes,Anhingidae (Anhingas),Anhinga,anhing,swampfisher,1,
Suliformes,Anhingidae (Anhingas),Anhinga,anhing,tern,1,
Suliformes,Anhingidae (Anhingas),Anhinga,anhing,thrasher,1,
Suliformes,Anhingidae (Anhingas),Anhinga,anhing,turkey,1,
Suliformes,Anhingidae (Anhingas),Anhinga,anhing,vulture,2,
Suliformes,Anhingidae (Anhingas),Anhinga,anhing,vultures,1,
Suliformes,Anhingidae (Anhingas),Anhinga,anhing,watercrane,1,
Suliformes,Anhingidae (Anhingas),Anhinga,anhing,wildturkey,1,
Caprimulgiformes,Trochilidae (Hummingbirds),Anna's Hummingbird,annhum,colorbird,1,
Caprimulgiformes,Trochilidae (Hummingbirds),Anna's Hummingbird,annhum,humming,1,
Caprimulgiformes,Trochilidae (Hummingbirds),Anna's Hummingbird,annhum,jumpingbird,1,
Caprimulgiformes,Trochilidae (Hummingbirds),Anna's Hummingbird,annhum,pinkdove,1,
Caprimulgiformes,Trochilidae (Hummingbirds),Anna's Hummingbird,annhum,sparrow,1,
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Arctic Tern,arcter,articseagul,1,
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Arctic Tern,arcter,ballpointfinchnotsurewhatthebirdsnameactuallyissoigaveitanewname,1,
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Arctic Tern,arcter,blackcappedswallow,1,
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Arctic Tern,arcter,blackcapseagull,1,
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Arctic Tern,arcter,blackhead,1,
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Arctic Tern,arcter,blackheadedseagull,3,
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Arctic Tern,arcter,blackheadedswallow,1,
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Arctic Tern,arcter,blackheadgull,1,
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Arctic Tern,arcter,boatbird,1,
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Arctic Tern,arcter,boobie,1,
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Arctic Tern,arcter,capbird,1,
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Arctic Tern,arcter,chickadee,1,
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Arctic Tern,arcter,dove,1,
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Arctic Tern,arcter,eagle,2,
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Arctic Tern,arcter,egret,1,
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Arctic Tern,arcter,finch,1,
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Arctic Tern,arcter,gull,6,
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Arctic Tern,arcter,heron,1,
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Arctic Tern,arcter,kite,1,
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Arctic Tern,arcter,maskedbooby,1,
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Arctic Tern,arcter,miniseagull,1,
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Arctic Tern,arcter,oriole,1,
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Arctic Tern,arcter,pacificseaswallow,1,
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Arctic Tern,arcter,pigeon,2,
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Arctic Tern,arcter,plover,2,
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Arctic Tern,arcter,puffing,1,
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Arctic Tern,arcter,raptor,1,
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Arctic Tern,arcter,scissortailflycatcher,1,
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Arctic Tern,arcter,seabird,3,
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Arctic Tern,arcter,seaflyer,1,
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Arctic Tern,arcter,seagul,1,
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Arctic Tern,arcter,seagull,16,
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Arctic Tern,arcter,seaswallow,1,
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Arctic Tern,arcter,seaswift,1,
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Arctic Tern,arcter,smallgull,1,
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Arctic Tern,arcter,snowbird,1,
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Arctic Tern,arcter,sparrow,4,
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Arctic Tern,arcter,splittailswallow,1,
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Arctic Tern,arcter,swallow,5,
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Arctic Tern,arcter,swallowtail,1,
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Arctic Tern,arcter,swallowtailkite,1,
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Arctic Tern,arcter,swift,2,
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Arctic Tern,arcter,tallymanwren,1,
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Arctic Tern,arcter,tortle,1,
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Arctic Tern,arcter,waterfinch,1,
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Arctic Tern,arcter,whiteandblackseagull,1,
